2685,1422,2,973375612
1941,1929,4,974954081
3312,21,1,967955474
4553,161,5,964555191
2027,176,4,974675039
5289,982,4,961081792
5607,440,4,959715425
5626,3599,4,961488519
5587,2324,4,959281928
3851,3798,1,965880012
2507,279,2,974082031
667,2291,4,975639688
5474,1097,2,959881156
4897,1291,4,962717223
5310,3035,3,960927951
3425,1422,1,967364212
2304,586,5,974500871
2529,3375,4,974055714
4790,3267,3,963104589
3441,3618,1,981234352
446,1136,5,976239332
3452,1222,5,1031931101
1176,480,5,974857824
2911,47,5,971795967
4258,468,4,980276025
252,2912,4,976688438
2338,1356,4,974421488
1697,3548,3,974733624
4448,3566,5,973537652
2788,296,4,972958355
3393,3551,5,967499414
1870,2424,5,974698248
2143,3527,4,974629722
415,3538,4,976668848
2840,2567,3,972571013
2887,3591,3,972155812
1470,1617,4,974838710
2351,1267,5,974408588
466,1136,4,976226735
749,2553,3,975476048
1483,2622,4,974755046
1694,1259,4,974710536
5916,615,3,957320150
5492,1059,1,996698346
412,3394,4,976553236
2931,595,5,971505527
1426,2427,4,974859847
1448,3394,3,977259807
5046,1101,3,962499438
3625,1603,3,966563544
3410,2291,5,967471008
45,1580,4,977990879
2572,16,4,973909650
4979,2013,3,962605562
2221,2456,2,974601438
1051,1127,3,975045945
1178,451,4,974857110
2318,2085,1,974476632
352,1230,5,976325688
5703,1179,4,958575922
2868,1375,4,972527089
5153,1097,5,961970599
4510,2523,2,964988536
135,2707,5,977416793
3054,905,5,970616508
2825,1041,3,972610724
4217,3355,4,966188448
1285,3347,5,975458074
2750,1358,5,973201101
5973,1676,4,956950624
3768,457,4,966068554
463,2458,1,976228936
3026,1064,2,970463393
203,27,3,976929170
4961,908,3,962636888
2526,1019,5,974066170
824,3429,4,975380426
1635,1235,5,974771773
5809,440,4,957989849
1925,253,4,1025962543
2919,3923,2,971713497
2953,3578,2,971216371
1096,181,1,974933476
4926,1580,3,962662628
4279,2194,4,965282401
3715,346,4,966267229
924,457,4,975200809
1524,1029,1,981317538
712,1213,5,975601731
2015,12,4,975037234
205,1256,5,976922499
1314,917,5,975532605
4344,955,5,965236168
5319,3739,4,960865994
5268,1992,3,961168791
749,2082,3,975478159
3504,724,3,966983522
4447,415,1,965174103
590,3409,4,975912444
5956,3744,3,980969709
